64 3.6254048347e-02 1.4899969101e-03
64 8.2019800544e+00 1.1576360899e+02
128 7.0708036423e-02 1.5100240707e-03
128 1.3324282050e+01 1.1404220903e+02
200 1.0592198372e-01 1.5389919281e-03
200 1.2122218013e+01 1.1394603300e+02
256 1.2794399261e-01 1.5320181847e-03
256 1.3336866975e+01 1.1121971202e+02
512 2.4360305071e-01 1.5529990196e-03
512 3.3866563022e+01 1.0964447600e+02
600 2.6473599672e-01 1.1389851570e-03
600 2.5875370979e+01 1.0953173596e+02
800 3.3509302139e-01 1.1829733849e-03
800 3.5233370960e+01 1.0940277201e+02
1024 4.0777599812e-01 1.5049576759e-03
1024 4.0208760977e+01 1.0940268600e+02
2000 6.9830900431e-01 1.9279718399e-03
2000 7.0422505021e+01 1.0828327900e+02
3000 1.0997050405e+00 1.8180012703e-03
3000 1.0493347800e+02 1.0935571599e+02
4096 1.4692339897e+00 1.7599463463e-03
4096 1.4254756796e+02 1.0953212398e+02
6000 2.1157349944e+00 1.9450187683e-03
6000 2.0684932905e+02 1.0882171798e+02
7000 2.4973570108e+00 1.8690228462e-03
7000 2.4091976601e+02 1.0934232301e+02
10000 3.5286130309e+00 1.8159747124e-03
10000 3.4405594301e+02 1.0902255499e+02
50000 1.7186239004e+01 1.8919706345e-03
50000 1.7070208750e+03 1.0823311198e+02
100000 3.4250093043e+01 2.1019577980e-03
100000 3.4077942210e+03 1.0627179998e+02
