STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407973779 GHz,
TABLE,Region montaSL,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],13.488630,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,115512400000
CPU_CLK_UNHALTED_CORE,FIXC1,50705190000
CPU_CLK_UNHALTED_REF,FIXC2,45637970000
TEMP_CORE,TMP0,206
PWR_PKG_ENERGY,PWR0,118.4193
PWR_PP0_ENERGY,PWR1,115.4691
PWR_PP1_ENERGY,PWR2,0.0674
PWR_DRAM_ENERGY,PWR3,6.7167
TABLE,Region montaSL,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],13.4886,
Runtime unhalted [s],14.8784,
Clock [MHz],3786.3638,
CPI,0.4390,
Temperature [C],206,
Energy [J],118.4193,
Power [W],8.7792,
Energy PP0 [J],115.4691,
Power PP0 [W],8.5605,
Energy PP1 [J],0.0674,
Power PP1 [W],0.0050,
Energy DRAM [J],6.7167,
Power DRAM [W],0.4980,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407973779 GHz,
TABLE,Region resolveSL,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],0.108242,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,528991200
CPU_CLK_UNHALTED_CORE,FIXC1,406794400
CPU_CLK_UNHALTED_REF,FIXC2,365740300
TEMP_CORE,TMP0,207
PWR_PKG_ENERGY,PWR0,1.3745
PWR_PP0_ENERGY,PWR1,1.3054
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.1767
TABLE,Region resolveSL,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],0.1082,
Runtime unhalted [s],0.1194,
Clock [MHz],3790.5165,
CPI,0.7690,
Temperature [C],207,
Energy [J],1.3745,
Power [W],12.6985,
Energy PP0 [J],1.3054,
Power PP0 [W],12.0596,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.1767,
Power DRAM [W],1.6324,
