STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407981258 GHz,
TABLE,Region montaSL,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],118.387600,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1010643000000
CPU_CLK_UNHALTED_CORE,FIXC1,445596100000
CPU_CLK_UNHALTED_REF,FIXC2,400628800000
MEM_LOAD_RETIRED_L3_HIT,PMC0,128901
MEM_LOAD_RETIRED_L3_MISS,PMC1,4138
UOPS_RETIRED_ALL,PMC2,1184700000000
TABLE,Region montaSL,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],118.3876,
Runtime unhalted [s],130.7507,
Clock [MHz],3790.4992,
CPI,0.4409,
L3 request rate,1.122976e-07,
L3 miss rate,3.492867e-09,
L3 miss ratio,0.0311,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407981258 GHz,
TABLE,Region resolveSL,Group 1 Raw,L3CACHE,6
Region Info,Core 3,
RDTSC Runtime [s],0.108395,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,528990300
CPU_CLK_UNHALTED_CORE,FIXC1,408813600
CPU_CLK_UNHALTED_REF,FIXC2,367572000
MEM_LOAD_RETIRED_L3_HIT,PMC0,5979415
MEM_LOAD_RETIRED_L3_MISS,PMC1,1305014
UOPS_RETIRED_ALL,PMC2,615365600
TABLE,Region resolveSL,Group 1 Metric,L3CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.1084,
Runtime unhalted [s],0.1200,
Clock [MHz],3790.3570,
CPI,0.7728,
L3 request rate,0.0118,
L3 miss rate,0.0021,
L3 miss ratio,0.1792,
